package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"react-is-deprecated","extracted","0.1.9999","react-is-deprecated","34","17","34","10","8","0","0","0","0","1","0","0","0","0","0","0","0","17"
"react-js-pagination","extracted-with-diagnostics","3.0.9999","react-js-pagination","3","3","2","2","0","0","0","1","1","0","0","0","0","0","0","0","2","3"
"react-js-table-with-csv-dl","extracted-with-diagnostics","0.9.9999","react-js-table-with-csv-dl","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-json","extracted-with-diagnostics","0.2.9999","react-json","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-json-editor-ajrm","extracted-with-diagnostics","2.5.9999","react-json-editor-ajrm","5","5","4","5","1","0","0","1","1","0","0","0","0","0","0","0","2","5"
"react-json-to-csv","extracted-with-diagnostics","1.2.9999","react-json-to-csv","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-jsonschema-form","extracted-with-diagnostics","1.7.9999","react-jsonschema-form","55","50","53","21","11","1","0","1","1","1","1","0","0","0","0","0","7","45"
"react-katex","extracted-with-diagnostics","3.0.9999","react-katex","3","3","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-key-handler","extracted-with-diagnostics","1.2.9999","react-key-handler","6","6","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","6"
"react-key-value","extracted-with-diagnostics","2.0.9999","react-key-value","14","14","13","4","1","0","0","1","1","0","0","0","0","0","0","0","2","14"
"react-keyboard-event-handler","extracted-with-diagnostics","1.5.9999","react-keyboard-event-handler","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-kofi-button","extracted-with-diagnostics","0.1.9999","react-kofi-button","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
"react-latex","extracted-with-diagnostics","2.0.9999","react-latex","6","3","6","3","1","0","0","1","1","0","0","0","0","0","0","0","0","3"
"react-lazy-load-image-component","extracted-with-diagnostics","1.6.9999","react-lazy-load-image-component","3","2","3","2","1","0","0","1","1","0","0","0","0","0","0","0","0","2"
